Result squared_hinge;Train;Test;Diff;
0.0001;79.95;81.02;-1.07;
0.001;83.935;84.28;-0.345;
0.01;85.1083333333;85.35;-0.241666666667;
0.1;85.4883333333;85.49;-0.00166666666667;
0.5;85.505;85.5;0.005;
1;85.5133333333;85.5;0.0133333333333;
1.5;85.5066666667;85.46;0.0466666666667;
2;85.515;85.4;0.115;
2.5;85.5333333333;85.58;-0.0466666666667;
3;85.5016666667;85.55;-0.0483333333333;
3.5;85.495;85.62;-0.125;
4;85.4416666667;85.32;0.121666666667;
4.5;85.475;85.44;0.035;
5;85.445;85.38;0.065;
6;85.2333333333;85.21;0.0233333333333;
7;85.0733333333;85.1;-0.0266666666667;
8;84.7466666667;84.83;-0.0833333333333;
9;84.6583333333;84.54;0.118333333333;
10;84.48;84.36;0.12;
15;83.3266666667;83.86;-0.533333333333;

Result hinge;Train;Test;Diff;
0.0001;71.49;73.38;-1.89;
0.001;81.5833333333;82.13;-0.546666666667;
0.01;84.4566666667;84.45;0.00666666666666;
0.1;85.3433333333;85.17;0.173333333333;
0.5;85.535;85.27;0.265;
1;85.615;85.34;0.275;
1.5;85.615;85.35;0.265;
2;85.6483333333;85.33;0.318333333333;
2.5;85.5933333333;85.37;0.223333333333;
3;85.6266666667;85.21;0.416666666667;
3.5;85.61;85.23;0.38;
4;85.5766666667;85.33;0.246666666667;
4.5;85.6066666667;85.22;0.386666666667;
5;85.5783333333;85.29;0.288333333333;
6;85.5083333333;85.3;0.208333333333;
7;85.4283333333;85.17;0.258333333333;
8;85.625;85.26;0.365;
9;85.495;85.03;0.465;
10;85.3833333333;85.06;0.323333333333;
15;84.9933333333;84.83;0.163333333333;

