Result squared_hinge: 
0.0001;79.95;81.02;
0.00025;82.21;82.87;
0.005;84.85;85.01;
0.01;85.1083333333;85.35;
0.025;85.3233333333;85.33;
0.05;85.4383333333;85.43;
0.075;85.4733333333;85.5;
0.1;85.4883333333;85.49;
0.2;85.4933333333;85.51;
0.45;85.5033333333;85.51;
0.8;85.5133333333;85.5;
1.0;85.525;85.45;
1.25;85.4983333333;85.53;
1.5;85.5166666667;85.46;
1.75;85.5283333333;85.54;
2;85.5366666667;85.58;
2.5;85.5166666667;85.66;
3;85.5566666667;85.61;

Result hinge: 
0.0001;71.49;73.38;
0.00025;76.5783333333;77.92;
0.005;83.8983333333;83.93;
0.01;84.4566666667;84.45;
0.025;84.925;84.89;
0.05;85.1416666667;85.11;
0.075;85.27;85.15;
0.1;85.3483333333;85.17;
0.2;85.4133333333;85.21;
0.45;85.5216666667;85.31;
0.8;85.56;85.34;
1.0;85.6166666667;85.33;
1.25;85.6366666667;85.34;
1.5;85.6266666667;85.33;
1.75;85.5966666667;85.32;
2;85.5933333333;85.4;
2.5;85.6016666667;85.37;
3;85.645;85.31;

