Result hinge;Train;Test;Diff;
0.0001;71.49;73.38;-1.89;
0.001;81.5833333333;82.13;-0.546666666667;
0.01;84.455;84.45;0.005;
0.1;85.3466666667;85.18;0.166666666667;
0.5;85.5466666667;85.32;0.226666666667;
1;85.6083333333;85.35;0.258333333333;
1.5;85.595;85.32;0.275;
2;85.5916666667;85.4;0.191666666667;
2.5;85.61;85.29;0.32;
3;85.62;85.33;0.29;
5;85.4833333333;85.11;0.373333333333;
6;85.6233333333;85.26;0.363333333333;
7;85.5666666667;85.16;0.406666666667;
8;85.565;85.11;0.455;
9;85.4616666667;85.08;0.381666666667;
10;85.3883333333;84.92;0.468333333333;
15;85.0566666667;84.71;0.346666666667;

Result squared_hinge;Train;Test;Diff;
0.0001;79.95;81.02;-1.07;
0.001;83.935;84.28;-0.345;
0.01;85.1083333333;85.35;-0.241666666667;
0.1;85.4883333333;85.49;-0.00166666666667;
0.5;85.4983333333;85.49;0.00833333333334;
1;85.5283333333;85.48;0.0483333333333;
1.5;85.5316666667;85.47;0.0616666666667;
2;85.4983333333;85.48;0.0183333333333;
2.5;85.4883333333;85.53;-0.0416666666667;
3;85.5533333333;85.55;0.00333333333333;
5;85.4033333333;85.32;0.0833333333333;
6;85.275;85.06;0.215;
7;85.0983333333;85.06;0.0383333333333;
8;84.6316666667;84.67;-0.0383333333333;
9;84.8083333333;84.96;-0.151666666667;
10;84.6666666667;84.42;0.246666666667;
15;83.1733333333;83.46;-0.286666666667;

