Result hinge;Train;Test;Diff;
0.0001;71.49;73.38;-1.89;
0.001;81.585;82.13;-0.545;
0.01;84.4566666667;84.45;0.00666666666666;
0.1;85.3383333333;85.19;0.148333333333;
0.5;85.5466666667;85.32;0.226666666667;
1;85.6216666667;85.34;0.281666666667;
1.5;85.6333333333;85.29;0.343333333333;
2;85.6316666667;85.38;0.251666666667;
2.5;85.5633333333;85.27;0.293333333333;
3;85.6166666667;85.36;0.256666666667;
3.5;85.6016666667;85.32;0.281666666667;
4;85.5783333333;85.34;0.238333333333;
4.5;85.5533333333;85.1;0.453333333333;
5;85.5966666667;85.23;0.366666666667;
6;85.4533333333;85.17;0.283333333333;
7;85.5333333333;84.99;0.543333333333;
8;85.5983333333;85.11;0.488333333333;
9;85.4583333333;85.17;0.288333333333;
10;85.5;85.14;0.36;
15;85.1616666667;84.71;0.451666666667;

Result squared_hinge;Train;Test;Diff;
0.0001;79.95;81.02;-1.07;
0.001;83.935;84.28;-0.345;
0.01;85.1083333333;85.35;-0.241666666667;
0.1;85.4883333333;85.49;-0.00166666666667;
0.5;85.5016666667;85.5;0.00166666666667;
1;85.5116666667;85.49;0.0216666666667;
1.5;85.5083333333;85.46;0.0483333333333;
2;85.4866666667;85.51;-0.0233333333333;
2.5;85.5066666667;85.46;0.0466666666667;
3;85.4616666667;85.44;0.0216666666667;
3.5;85.5533333333;85.5;0.0533333333333;
4;85.53;85.49;0.04;
4.5;85.3283333333;85.22;0.108333333333;
5;85.46;85.41;0.05;
6;85.2266666667;85.33;-0.103333333333;
7;85.005;85.22;-0.215;
8;84.6216666667;84.8;-0.178333333333;
9;84.745;84.67;0.075;
10;84.2066666667;84.11;0.0966666666667;
15;82.4233333333;83.04;-0.616666666667;

