Result hinge: 
0.0001;92.595;91.78;
0.00025;91.71;90.68;
0.005;88.81;88.13;
0.01;87.1816666667;86.62;
0.025;87.5;86.6;
0.05;86.3633333333;85.65;
0.075;82.9833333333;82.47;
0.1;86.6183333333;85.98;
0.2;88.0283333333;86.77;
0.45;87.47;86.67;
0.8;88.6866666667;87.81;
1.0;86.8283333333;85.76;
1.25;88.0116666667;87.49;
1.5;88.3733333333;88.14;
1.75;87.9616666667;87.2;
2;86.305;85.29;
2.5;88.08;87.25;
3;88.8466666667;88.54;

Result squared_hinge: 
0.0001;91.345;90.55;
0.00025;90.63;90.14;
0.005;86.57;86.1;
0.01;87.91;86.91;
0.025;85.2216666667;84.59;
0.05;84.5533333333;83.8;
0.075;87.5283333333;86.87;
0.1;77.5866666667;76.87;
0.2;88.7083333333;87.81;
0.45;85.36;84.5;
0.8;88.4333333333;88.01;
1.0;86.5;85.75;
1.25;87.3683333333;87.05;
1.5;88.435;87.63;
1.75;88.3666666667;87.9;
2;81.3;80.26;
2.5;84.5216666667;83.65;
3;87.94;87.39;

